如何办理校园卡？|带上身份证去行政楼一楼校园卡服务中心办理
选修课挂了怎么办？|公选课挂了不需要重修，只要毕业前修满规定的选修学分即可
学校有对外开放的游泳池吗？|体育馆一楼有室内恒温游泳馆，对本校师生有折扣
办理护照/港澳通行证去哪？|请携带身份证和在读证明前往市公安局出入境管理大厅办理
教师资格证学校包分配吗？|不包分配，需要学生自己报名参加国家统一考试
可以跨院系辅修双学位吗？|学校支持辅修，具体开设专业和报名条件请留意教务处大二上学期的通知
大一可以考四级吗？|可以，只要符合报名条件的大一新生均可报名参加
校园卡能当银行卡用吗？|校园卡具备金融消费功能，但它绑定的银行卡才是真正的储蓄账户
手机丢了怎么查监控？|请辅导员开具证明后，前往保卫处监控中心申请调看
学校的邮编是多少？|请填写516000
寄信的邮筒在哪里？|校园行政楼旁有一个中国邮政的绿色邮筒
校园广播站怎么点歌？|关注广播站官方微信公众号，在后台留言点歌并附上祝福语
可以在操场放风筝/无人机吗？|可以放风筝，但严禁在校内未经审批放飞无人机，以免侵犯隐私
校庆日是哪一天？|惠州学院的校庆日是每年的11月X日（具体视校历而定）
考场在哪里看？|考前一周登录教务系统，在“我的考试”模块可查看具体考场及座位号
答题卡用2B还是HB？|标准化考试的客观题请务必使用2B铅笔涂卡
生病请假怎么弄？|出示校医院或正规医院的病假条，在网上办事大厅提交请假申请
可以带外卖进图书馆吗？|严禁携带食物和有色饮料进入图书馆阅览区
怎么参加学科竞赛？|关注教务处网站“创新创业”板块，或联系专业课老师加入指导团队
三好学生有什么奖励？|颁发荣誉证书，并在国家奖学金和校级奖学金评定中予以加分
学校附近有什么好玩的？|学校周边有大型商圈、电影院，周末还可以去附近的红花湖骑行
可以改专业吗？|大一学年结束后，成绩排名前10%的学生有资格申请转专业
寝室有单独卫生间吗？|目前学生公寓均配备独立卫生间和阳台
网购的床帘有限制吗？|可以使用，但必须采用阻燃材料，且不能妨碍宿舍整体通风与消防安全
学校有哪些社团？|学校有学术类、体育类、艺术类等上百个社团，如吉他社、辩论队、街舞协会等
什么时候评定贫困生？|每年9月初新生开学时，老生每年复核一次
国家助学金分几档？|通常分为特别困难、困难、一般困难三档，金额不同
校园一卡通密码能改吗？|可以在食堂的圈存机上进行修改
图书馆的WIFI怎么连？|和教学区一样，使用统一的“Campus-Net”并用学号登录
退学手续怎么办理？|由学生本人及家长提出书面申请，经学院审核后报教务处审批
违纪处分多久能撤销？|视处分级别而定，一般警告、严重警告处分在半年或一年后表现良好可申请解除
学生会在哪办公？|大学生活动中心二楼
迎新晚会什么时候办？|通常在新生军训结束后的第一周周末举行
献血车什么时候来学校？|每个学期的期中左右，市中心血站的采血车会开进校园
学校有免费健身房吗？|体育馆内有免费的力量训练区，但部分高级器械需办理健身卡
毕业论文查重率要求多少？|一般要求知网查重率在20%或30%以下，具体按各学院规定执行
怎么申请提前毕业？|在校学习时间达三年以上，修满教学计划规定的全部学分，可提前一年申请
教职工几点下班？|行政人员正常下班时间为下午17:30，周末双休
周末教学楼开门吗？|开门，周末正常开放供学生自修或开展活动
这个系统是什么？|本系统是一个基于ONNX Runtime与C++完全从零构建的轻量级本地AI搜索引擎。
本系统的开发者是谁？|本系统是由惠州学院电子信息工程专业的姚淳怀同学设计与实现的。
为什么不使用Python来开发这个搜索引擎？|Python生态极其臃肿、运行环境复杂且耗费内存，不适合直接在边缘设备或轻量级本地环境部署。
什么是Transformer模型？|Transformer是由Vaswani等人提出的网络架构，其核心是使用自注意力机制取代了传统的循环神经网络。
自注意力机制有什么用？|自注意力机制能够打破文本处理的顺序限制，高效地找出句子中不同位置词语之间的内在联系。
BERT模型是什么？|BERT是基于Transformer的预训练语言模型，能够利用双向上下文信息学习词汇的深层语义。
什么是句向量（Sentence Embedding）？|句向量是将长短不一的句子映射为高维空间中固定维度的数字数组，方便通过数学公式计算语义距离。
Sentence-BERT解决了什么问题？|它改进了传统BERT计算句对相似度效率低下的问题，使其能高效地输出独立句向量。
ONNX是什么格式？|ONNX全称是开放神经网络交换格式，是一个能让不同深度学习框架互相转换模型的通用标准。
什么是ONNX Runtime？|它是微软开源的高效模型推理引擎，支持C++底层调用，能够极大地提升模型的运行速度并降低内存消耗。
你是怎么计算文本相似度的？|我通过计算两个句子对应的高维向量之间的余弦相似度，来衡量它们在语义上的接近程度。
余弦相似度的公式是什么？|余弦相似度等于两个向量的点积除以它们模长的乘积，取值在[-1, 1]之间。
什么是混合检索策略？|本系统将基于高维向量的“语义检索”和基于字符比对的“关键词匹配”按权重结合，以提高检索的鲁棒性。
系统中的关键词匹配是怎么实现的？|分为两步：第一步是判断字符串的直接包含关系；第二步是利用动态规划计算最长公共子序列(LCS)。
为什么要用最长公共子序列（LCS）算法？|为了过滤用户输入中的废话和语气词。只要用户提问的关键字符顺序和知识库匹配，LCS就能精准捕捉。
混合检索的打分权重是怎么分配的？|系统中语义得分占0.7的权重，关键词得分占0.3的权重，体现“语义为主，字面为辅”的设计思想。
系统如何避免答非所问的情况？|我设置了最低综合得分阈值，如果最高得分低于0.6，我会主动提示“知识库中未找到相关内容”。
BertEmbedder类有什么作用？|它是系统的核心组件，封装了模型加载、词表映射、文本编码和句向量生成等所有底层逻辑。
你是如何处理中文分词的？|我实现了一个基于UTF-8编码规则的轻量级解析器，通过判断字符首字节的位模式来精准切分汉字和符号。
张量（Tensor）在系统中是怎么构造的？|系统在运行时动态分配CPU内存，并将input_ids、attention_mask等转化为形状为[1, 序列长度]的张量。
为什么系统启动时需要一点时间？|因为系统在启动阶段执行了“知识库预向量化”，将所有文本提前转换为高维向量并建立缓存索引。
预向量化机制有什么好处？|它避免了查询时重复执行耗时的深度模型推理，使得用户的每次提问都能在毫秒级得到响应。
如果在C++里直接处理字符大小写会有什么风险？|对有符号char直接调用tolower等C标准库函数可能导致未定义行为，因此系统设计了安全的辅助函数。
系统的查询延迟大概是多少？|在普通PC单线程环境下，单次查询延迟通常在几十毫秒左右，能做到极高的并发响应(QPS)。
系统中怎么记录查询时间？|系统使用C++的chrono::high_resolution_clock获取查询前后的时间戳，计算差值得到毫秒级耗时。
如果知识库里找不到答案怎么办？|由于没有对接外部网络，对于未收录的问题，系统会根据阈值判定并诚实地回复无法解答。
系统的打字机输出效果是怎么实现的？|通过遍历结果字符串，每次输出一个字符后让当前线程休眠约15毫秒，模拟真实的打字效果。
控制台中文乱码怎么解决的？|在Windows环境下，系统通过SetConsoleOutputCP(65001)强制将控制台编码切换为UTF-8。
这个系统的应用场景有哪些？|非常适合部署在校园自助终端、智能售货机、桌面离线助手等对内存和无需联网有苛刻要求的场景。
系统的模块化设计体现在哪？|系统被清晰地划分为用户交互层、知识库管理层、文本编码层、模型推理层和检索排序层。
如果没有data.txt文件系统还能运行吗？|可以运行，系统内部硬编码了少量的保底基础数据，保证在缺少外部文件时依然具有交互能力。
为什么不用倒排索引？|目前定位是中小规模知识库，线性遍历加上预向量化缓存已经能满足毫秒级响应，后续大规模化可引入HNSW索引。
为什么不用BM25算法？|因为BM25是基于词频统计的稀疏检索，依赖复杂的结巴分词，而LCS算法更轻量且无需额外依赖第三方库。
Attention_mask张量的作用是什么？|它用于告诉模型输入序列中哪些位置是真实的token，哪些位置是补齐(pad)的无效符。
[CLS]和[SEP]在序列中代表什么？|[CLS]是添加在句子开头的特殊标识符，[SEP]则是句子结束的标识符。
模型推理的batch size是多少？|由于是针对本地单用户实时交互设计的，系统采用batch size为1的逐句推理模式。
你是怎么把字符串转成Token ID的？|我将切分后的字符或子串与内存中的哈希词表进行比对，若匹配则转换为对应的整数ID，未知字符用100代替。
怎么防止用户输入空内容导致系统崩溃？|在主程序的问答循环中，一旦检测到用户输入为空，会使用continue直接跳过本次循环。
这篇论文的指导老师是谁？|本文是在惠州学院电子信息工程专业汪茂稳老师的悉心指导下完成的。
你在毕业设计中遇到的最大困难是什么？|最大的困难是脱离成熟的Python库，在C++裸环境中安全处理中文字符并正确构造模型所需的底层张量数据。
系统有界面吗？|目前是一个轻量级的命令行终端交互程序，极大地节省了系统开销，后续可轻易封装为DLL或API供图形界面调用。
为什么选择BERT而不是GPT？|因为目前系统的核心任务是“语义匹配”而非“开放文本生成”，BERT的双向编码结构在句子表征提取上更加高效和精准。
系统占用多少内存？|得益于ONNX Runtime的优化和C++的底层内存管理，系统运行时内存占用极低，远小于常规Python深度学习环境。
你的词表vocab.txt有多少个词？|它包含了模型预训练时设定的标准词汇表，系统启动时会将其加载进高效的哈希映射容器中。
如何证明你的系统真的脱离了Python？|整个工程通过MSVC/GCC等C++编译器独立编译为可执行文件(.exe)，运行时无需依赖任何Python解释器或虚拟环境。
单线程推理速度慢吗？|针对短文本检索，ONNX Runtime的C++后端已经做了指令集级别的优化，单核处理也能轻松满足毫秒级需求。
余弦相似度里的分母为0怎么办？|在C++代码实现中，我做了严格的除零校验，如果任何一个向量的模长为0，函数会安全返回0。
对于很长的问题系统能处理吗？|受限于底层BERT模型的输入维度，系统会自动对过长的提问进行截断处理，保证推理过程不溢出。
混合检索里的LCS算法时间复杂度是多少？|是O(m*n)，m和n是两个句子的字符长度。由于知识库问题通常较短，耗时基本可以忽略不计。
为什么LCS算出来后还要除以知识库问题长度？|为了计算“覆盖率”。如果匹配比例小于50%，系统会认为只是巧合重合，从而将其关键词得分清零。

